page_id,element,composition,prompt,status
FS001-011,sunburst,overlapping,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with adult coloring book line art of repeating sunburst motifs, composed as motifs directly overlapping and layered across the entire page as one continuous design, not isolated framed compartments, large uniform shapes, evenly sized for easy coloring, four-way grid symmetry, not a kaleidoscope, moderate detail, large easy-to-color regions, not edge-to-edge, a solid black border with square corners, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework, pure white background, no texture or noise, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-012,icicle,nested,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with repeating icicle motifs rendered as motifs nested concentrically within each other as one unified form, not split into multiple repeated medallions, loose, imperfect symmetry with large dominant forms, minimal small detail, moderate detail, large easy-to-color regions, not edge-to-edge, a solid black border with square corners, adult coloring book line art, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework, pure white background, no texture or noise, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-013,vine,flowing_diagonal,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with adult coloring book line art of repeating vine motifs, a single diagonal flow of motifs sweeping corner to corner, not a symmetric grid of repeated blocks, with very sparse, a few large simple shapes, generous open space, bilateral symmetry, large dominant forms, minimal small detail, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework on pure white background, no texture or noise, strong visual rhythm, full-page portrait composition with a solid black border with square corners, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-014,wave,asymmetric_repeating,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with adult coloring book line art featuring repeating wave motifs as irregular asymmetric repetition scattered unevenly across the page, not a symmetric grid of identical quadrants, asymmetric, organic arrangement, rendered with light detail, large shapes with open space between them, medium-large motifs, generous coloring space, a solid black border with square corners, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework, pure white background, no texture or noise, richly patterned and colorable, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-015,acorn,overlapping,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with an ornamental pattern of repeating acorn motifs built as motifs directly overlapping and layered across the entire page as one continuous design, not isolated framed compartments, dense detail but large simple regions, not fully packed, bilateral symmetry, moderately sized motifs, not tiny or fussy, framed with a solid black border with square corners, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework on pure white background, no texture or noise, adult coloring book line art, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-016,wave,organic_all_over,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework depicting repeating wave motifs, one continuous organic pattern flowing edge to edge across the whole page, not a grid of repeated framed medallions, with large uniform shapes, evenly sized for easy coloring, moderate detail, large easy-to-color regions, not edge-to-edge, loose, imperfect symmetry, a solid black border with square corners, pure white background, no texture or noise, adult coloring book line art, strong decorative rhythm, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-017,bud,asymmetric_repeating,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with adult coloring book line art of repeating bud motifs, composed as irregular asymmetric repetition scattered unevenly across the page, not a symmetric grid of identical quadrants, medium-large motifs, generous coloring space, bilateral symmetry, moderate detail, large easy-to-color regions, not edge-to-edge, a solid black border with square corners, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework, pure white background, no texture or noise, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-018,shell,flowing_diagonal,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with repeating shell motifs rendered as a single diagonal flow of motifs sweeping corner to corner, not a symmetric grid of repeated blocks, loose, imperfect symmetry with mostly large shapes with a few small accents, moderate detail, large easy-to-color regions, not edge-to-edge, a solid black border with square corners, adult coloring book line art, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework, pure white background, no texture or noise, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-019,frost,interlocking,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with adult coloring book line art of repeating frost motifs, shapes directly interlocking across the full page as one continuous design, not isolated into separate framed compartments, with dense detail but large simple regions, not fully packed, bilateral symmetry, mostly large shapes with a few small accents, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework on pure white background, no texture or noise, strong visual rhythm, full-page portrait composition with a solid black border with square corners, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-020,leaf,alternating_bands,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with adult coloring book line art featuring repeating leaf motifs as horizontal bands stacked top to bottom spanning the full page width, not a 2x2 grid of framed sections, bilateral symmetry, rendered with moderate detail, large easy-to-color regions, not edge-to-edge, mostly large shapes with a few small accents, a solid black border with square corners, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework, pure white background, no texture or noise, richly patterned and colorable, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-021,raindrop,interlocking,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with an ornamental pattern of repeating raindrop motifs built as shapes directly interlocking across the full page as one continuous design, not isolated into separate framed compartments, intricate detail, but regions still large enough to color easily, loose, imperfect symmetry, moderately sized motifs, not tiny or fussy, framed with a solid black border with square corners, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework on pure white background, no texture or noise, adult coloring book line art, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-022,wheat,organic_all_over,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework depicting repeating wheat motifs, one continuous organic pattern flowing edge to edge across the whole page, not a grid of repeated framed medallions, with medium-large motifs, generous coloring space, moderate detail, large easy-to-color regions, not edge-to-edge, asymmetric, organic arrangement, a solid black border with square corners, pure white background, no texture or noise, adult coloring book line art, strong decorative rhythm, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-023,acorn,branching,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with adult coloring book line art of repeating acorn motifs, composed as one organic branching structure spreading unevenly from a few origin points, not four identical repeated branches in a grid, moderately sized motifs, not tiny or fussy, asymmetric, organic arrangement, dense detail but large simple regions, not fully packed, a solid black border with square corners, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework, pure white background, no texture or noise, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-024,wave,nested,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with repeating wave motifs rendered as motifs nested concentrically within each other as one unified form, not split into multiple repeated medallions, loose, imperfect symmetry with mostly large shapes with a few small accents, moderate detail, large easy-to-color regions, not edge-to-edge, a solid black border with square corners, adult coloring book line art, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework, pure white background, no texture or noise, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-025,spiral,clustered,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with adult coloring book line art of repeating spiral motifs, a few irregular organic clusters of varying size scattered unevenly across the page, not four identical evenly-spaced medallions, with light detail, large shapes with open space between them, asymmetric, organic arrangement, large dominant forms, minimal small detail, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework on pure white background, no texture or noise, strong visual rhythm, full-page portrait composition with a solid black border with square corners, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-026,leaf,geometric_lattice,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with adult coloring book line art featuring repeating leaf motifs as one continuous interlocking geometric mesh spanning the full page edge to edge, not broken into separate framed sections, bilateral symmetry, rendered with light detail, large shapes with open space between them, large bold motifs, easy to color, a solid black border with square corners, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework, pure white background, no texture or noise, richly patterned and colorable, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-027,crystal,interlocking,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with an ornamental pattern of repeating crystal motifs built as shapes directly interlocking across the full page as one continuous design, not isolated into separate framed compartments, light detail, large shapes with open space between them, bilateral symmetry, moderately sized motifs, not tiny or fussy, framed with a solid black border with square corners, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework on pure white background, no texture or noise, adult coloring book line art, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-028,shell,organic_all_over,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework depicting repeating shell motifs, one continuous organic pattern flowing edge to edge across the whole page, not a grid of repeated framed medallions, with large dominant forms, minimal small detail, dense detail but large simple regions, not fully packed, asymmetric, organic arrangement, a solid black border with square corners, pure white background, no texture or noise, adult coloring book line art, strong decorative rhythm, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-029,acorn,interlocking,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with adult coloring book line art of repeating acorn motifs, composed as shapes directly interlocking across the full page as one continuous design, not isolated into separate framed compartments, large uniform shapes, evenly sized for easy coloring, loose, imperfect symmetry, dense detail but large simple regions, not fully packed, a solid black border with square corners, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework, pure white background, no texture or noise, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-030,vine,branching,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with repeating vine motifs rendered as one organic branching structure spreading unevenly from a few origin points, not four identical repeated branches in a grid, bilateral symmetry with mostly large shapes with a few small accents, moderate detail, large easy-to-color regions, not edge-to-edge, a solid black border with square corners, adult coloring book line art, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework, pure white background, no texture or noise, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-031,wheat,overlapping,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with adult coloring book line art of repeating wheat motifs, motifs directly overlapping and layered across the entire page as one continuous design, not isolated framed compartments, with intricate detail, but regions still large enough to color easily, bilateral symmetry, large dominant forms, minimal small detail, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework on pure white background, no texture or noise, strong visual rhythm, full-page portrait composition with a solid black border with square corners, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-032,leaf,branching,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with adult coloring book line art featuring repeating leaf motifs as one organic branching structure spreading unevenly from a few origin points, not four identical repeated branches in a grid, bilateral symmetry, rendered with intricate detail, but regions still large enough to color easily, large bold motifs, easy to color, a solid black border with square corners, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework, pure white background, no texture or noise, richly patterned and colorable, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-033,acorn,nested,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with an ornamental pattern of repeating acorn motifs built as motifs nested concentrically within each other as one unified form, not split into multiple repeated medallions, dense detail but large simple regions, not fully packed, asymmetric, organic arrangement, large bold motifs, easy to color, framed with a solid black border with square corners, bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework on pure white background, no texture or noise, adult coloring book line art, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
FS001-034,wave,overlapping,"Using a ""stained glass window"" style with a ""4 Seasons"" theme, create an adult coloring book image with bold uniform-width black outlines, every shape fully closed with no open or dangling line ends, no hatching or texture linework depicting repeating wave motifs, motifs directly overlapping and layered across the entire page as one continuous design, not isolated framed compartments, with medium-large motifs, generous coloring space, moderate detail, large easy-to-color regions, not edge-to-edge, loose, imperfect symmetry, a solid black border with square corners, pure white background, no texture or noise, adult coloring book line art, strong decorative rhythm, no text, no numbers, no people, no shading, no gray, no color, no gradients, no solid black areas, no traditional mandala, no single central object, no concentric rings, no generic clip art, flat vector line art, no double outlines or stray accent strokes, content kept within the page with white space at the edge, not bleeding off the page, no gear or cog motifs unless gear is the requested subject, a genuinely unique design, not a repeat of anything already generated in this session --ar 17:22 --stylize 50 --style raw",NOT_GENERATED
